Nº Pedido,Cliente - Motorista,Data Emissão Pedido,Data Entrega Prevista,Destino,Itens,R$ Faturados,Saída para Entrega,Data Entrega Real, Qtd Devolução,Mot. Devolução,Dias Para Entrega,Status
A2488,WALMART-JOÃO GOMES,2020-07-21,2020-07-31,SP,15,235.5,2020-07-23,2020-07-25,12,Danificado,4,No Prazo
A2489,WALMART-JOÃO GOMES,2020-07-21,2020-07-31,BH,1,33.00000000000001,2020-07-30,2020-08-01,1,Produto Errado,11,Atrasado
A2490,CASAS BAHIA-JOÃO GOMES,2020-07-21,2020-07-31,RJ,5,162.0,2020-07-24,2020-07-29,2,Produto Errado,8,No Prazo
A2491,CASAS BAHIA-JOÃO GOMES,2020-07-21,2020-07-31,BH,4,62.0,2020-08-03,2020-08-04,2,Arrependimento,14,Atrasado
A2493,WALMART-JOÃO GOMES,2020-07-21,2020-07-31,BH,15,702.0,2020-07-25,2020-08-07,1,Produto Errado,17,Atrasado
A2497,MAGAZINE LUIZA-JOÃO GOMES,2020-07-21,2020-07-31,SP,4,63.599999999999994,2020-07-24,2020-08-02,1,Produto Errado,12,Atrasado
A2499,WALMART-FELIPE SILVA,2020-07-21,2020-07-31,BH,3,49.2,2020-07-29,2020-07-31,1,Danificado,10,No Prazo
A2500,WALMART-FELIPE SILVA,2020-07-21,2020-07-31,RJ,10,160.99999999999997,2020-08-02,2020-08-04,1,Danificado,14,Atrasado
A2501,AMERICANAS-FELIPE SILVA,2020-07-21,2020-07-31,BH,9,437.4,2020-07-24,2020-08-03,1,Produto Errado,13,Atrasado
A2502,MAGAZINE LUIZA-FELIPE SILVA,2020-07-21,2020-07-31,SP,3,143.99999999999997,2020-07-26,2020-07-31,3,Produto Errado,10,No Prazo
A2503,WALMART-JOÃO GOMES,2020-07-21,2020-07-31,BH,15,450.0,2020-08-02,2020-08-04,2,Produto Errado,14,Atrasado
A2504,MAGAZINE LUIZA-JOÃO GOMES,2020-07-21,2020-07-31,SP,2,62.4,2020-07-30,2020-08-02,1,Produto Errado,12,Atrasado
A2509,CASA E VIDEO-TÚLIO SILVEIRA,2020-07-22,2020-08-01,SP,16,806.4000000000003,2020-07-30,2020-08-05,0,S/ Devolu.,14,Atrasado
A2510,WALMART-VALDIR ESPINOSA,2020-07-22,2020-08-01,BH,10,328.00000000000006,2020-07-31,2020-08-05,0,S/ Devolu.,14,Atrasado
A2512,WALMART-FELIPE SILVA,2020-07-22,2020-08-01,BH,18,270.0,2020-07-26,2020-07-31,3,Produto Errado,9,No Prazo
A2516,CASAS BAHIA-JOÃO GOMES,2020-07-22,2020-08-01,RJ,7,105.0,2020-07-26,2020-07-27,1,Produto Errado,5,No Prazo
A2518,CASAS BAHIA-VALDIR ESPINOSA,2020-07-22,2020-08-01,SP,17,287.3000000000002,2020-07-31,2020-08-01,1,Danificado,10,No Prazo
A2519,CASA E VIDEO-VALDIR ESPINOSA,2020-07-22,2020-08-01,BH,11,180.40000000000003,2020-07-25,2020-08-07,3,Produto Errado,16,Atrasado
A2521,CASAS BAHIA-VALDIR ESPINOSA,2020-07-22,2020-08-01,RJ,1,32.199999999999996,2020-07-27,2020-08-09,0,S/ Devolu.,18,Atrasado
A2528,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-07-22,2020-08-01,SP,8,408.0000000000002,2020-07-31,2020-08-04,0,S/ Devolu.,13,Atrasado
A2529,CASAS BAHIA-VALDIR ESPINOSA,2020-07-22,2020-08-01,SP,15,697.5,2020-07-24,2020-08-03,0,S/ Devolu.,12,Atrasado
A2533,WALMART-TÚLIO SILVEIRA,2020-07-22,2020-08-01,RJ,14,630.0,2020-07-25,2020-07-29,3,Produto Errado,7,No Prazo
A2534,CASAS BAHIA-TÚLIO SILVEIRA,2020-07-22,2020-08-01,SP,7,225.39999999999998,2020-07-30,2020-08-07,1,Produto Errado,16,Atrasado
A2535,CASAS BAHIA-TÚLIO SILVEIRA,2020-07-22,2020-08-01,SP,11,360.80000000000007,2020-08-01,2020-08-02,2,Produto Errado,11,Atrasado
A2537,CASAS BAHIA-MARCOS LEROY,2020-07-22,2020-08-01,BH,4,189.6,2020-07-24,2020-08-06,1,Danificado,15,Atrasado
A2538,MAGAZINE LUIZA-MARCOS LEROY,2020-07-22,2020-08-01,BH,17,856.8000000000004,2020-07-23,2020-07-25,1,Danificado,3,No Prazo
A2539,WALMART-MARCOS LEROY,2020-07-22,2020-08-01,BH,1,49.2,2020-08-04,2020-08-06,1,Arrependimento,15,Atrasado
A2544,WALMART-MARCOS LEROY,2020-07-23,2020-08-02,SP,10,468.0,2020-07-24,2020-07-29,1,Produto Errado,6,No Prazo
A2545,WALMART-MARCOS LEROY,2020-07-23,2020-08-02,SP,7,221.2,2020-07-25,2020-08-01,3,Produto Errado,9,No Prazo
A2554,CASAS BAHIA-FELIPE SILVA,2020-07-23,2020-08-02,BH,15,706.5,2020-07-26,2020-08-02,0,S/ Devolu.,10,No Prazo
A2559,WALMART-VALDIR ESPINOSA,2020-07-23,2020-08-02,BH,15,495.0000000000001,2020-08-02,2020-08-06,2,Arrependimento,14,Atrasado
A2560,WALMART-VALDIR ESPINOSA,2020-07-23,2020-08-02,BH,5,168.00000000000009,2020-08-05,2020-08-09,0,S/ Devolu.,17,Atrasado
A2561,CASAS BAHIA-VALDIR ESPINOSA,2020-07-23,2020-08-02,SP,20,652.0,2020-07-26,2020-07-29,0,S/ Devolu.,6,No Prazo
A2564,MAGAZINE LUIZA-FELIPE SILVA,2020-07-23,2020-08-02,SP,7,119.00000000000007,2020-08-03,2020-08-08,1,Produto Errado,16,Atrasado
A2565,CASAS BAHIA-FELIPE SILVA,2020-07-23,2020-08-02,BH,3,47.699999999999996,2020-08-04,2020-08-09,3,Danificado,17,Atrasado
A2566,WALMART-FELIPE SILVA,2020-07-23,2020-08-02,RJ,1,33.600000000000016,2020-08-02,2020-08-08,1,Produto Errado,16,Atrasado
A2567,CASAS BAHIA-FELIPE SILVA,2020-07-23,2020-08-02,SP,6,298.80000000000007,2020-07-26,2020-08-04,0,S/ Devolu.,12,Atrasado
A2568,MAGAZINE LUIZA-FELIPE SILVA,2020-07-23,2020-08-02,BH,3,101.40000000000006,2020-07-25,2020-08-01,3,Produto Errado,9,No Prazo
A2571,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-07-23,2020-08-02,BH,1,48.599999999999994,2020-07-24,2020-07-29,1,Arrependimento,6,No Prazo
A2572,WALMART-VALDIR ESPINOSA,2020-07-23,2020-08-02,BH,1,47.99999999999999,2020-07-27,2020-07-30,1,Danificado,7,No Prazo
A2573,WALMART-VALDIR ESPINOSA,2020-07-23,2020-08-02,BH,4,188.39999999999998,2020-08-01,2020-08-08,2,Arrependimento,16,Atrasado
A2574,WALMART-FELIPE SILVA,2020-07-24,2020-08-03,RJ,11,534.6,2020-08-01,2020-08-04,0,S/ Devolu.,11,Atrasado
A2575,WALMART-FELIPE SILVA,2020-07-24,2020-08-03,SP,18,300.60000000000014,2020-07-29,2020-08-08,1,Danificado,15,Atrasado
A2591,AMERICANAS-JOÃO GOMES,2020-07-24,2020-08-03,SP,10,328.00000000000006,2020-07-28,2020-08-06,1,Produto Errado,13,Atrasado
A2592,WALMART-JOÃO GOMES,2020-07-24,2020-08-03,BH,20,652.0,2020-07-29,2020-08-01,3,Produto Errado,8,No Prazo
A2594,AMERICANAS-LUIZ PARDAL,2020-07-24,2020-08-03,BH,12,188.39999999999998,2020-07-29,2020-08-11,3,Produto Errado,18,Atrasado
A2595,MAGAZINE LUIZA-LUIZ PARDAL,2020-07-24,2020-08-03,SP,1,49.2,2020-08-03,2020-08-04,1,Produto Errado,11,Atrasado
A2597,AMERICANAS-LUIZ PARDAL,2020-07-24,2020-08-03,SP,1,15.999999999999998,2020-07-27,2020-07-29,1,Danificado,5,No Prazo
A2598,CASAS BAHIA-VALDIR ESPINOSA,2020-07-24,2020-08-03,BH,16,787.2,2020-08-03,2020-08-06,0,S/ Devolu.,13,Atrasado
A2599,WALMART-VALDIR ESPINOSA,2020-07-24,2020-08-03,SP,5,158.0,2020-08-02,2020-08-09,1,Produto Errado,16,Atrasado
A2600,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-07-24,2020-08-03,RJ,11,554.4000000000002,2020-07-26,2020-08-03,0,S/ Devolu.,10,No Prazo
A2601,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-07-24,2020-08-03,SP,11,551.1000000000003,2020-07-26,2020-07-31,1,Produto Errado,7,No Prazo
A2602,CASAS BAHIA-VALDIR ESPINOSA,2020-07-24,2020-08-03,BH,20,336.00000000000017,2020-07-25,2020-08-04,2,Danificado,11,Atrasado
A2604,WALMART-MARCOS LEROY,2020-07-24,2020-08-03,BH,3,144.89999999999998,2020-08-02,2020-08-07,4,Danificado,14,Atrasado
A2605,WALMART-MARCOS LEROY,2020-07-25,2020-08-04,SP,15,501.00000000000017,2020-08-03,2020-08-05,1,Danificado,11,Atrasado
A2606,AMERICANAS-LUIZ PARDAL,2020-07-25,2020-08-04,RJ,2,67.20000000000003,2020-07-30,2020-08-05,2,Danificado,11,Atrasado
A2607,WALMART-TÚLIO SILVEIRA,2020-07-25,2020-08-04,SP,8,259.2,2020-08-02,2020-08-03,1,Produto Errado,9,No Prazo
A2612,CASA E VIDEO-VALDIR ESPINOSA,2020-07-25,2020-08-04,RJ,14,238.00000000000014,2020-08-03,2020-08-07,3,Danificado,13,Atrasado
A2614,CASAS BAHIA-VALDIR ESPINOSA,2020-07-25,2020-08-04,SP,15,501.00000000000017,2020-07-28,2020-08-07,0,S/ Devolu.,13,Atrasado
A2616,CASAS BAHIA-VALDIR ESPINOSA,2020-07-25,2020-08-04,RJ,1,17.00000000000001,2020-08-09,2020-08-10,1,Danificado,16,Atrasado
A2617,WALMART-VALDIR ESPINOSA,2020-07-25,2020-08-04,RJ,20,314.0,2020-07-29,2020-08-02,2,Arrependimento,8,No Prazo
A2627,WALMART-MARCOS LEROY,2020-07-25,2020-08-04,SP,18,565.1999999999999,2020-07-30,2020-08-02,3,Arrependimento,8,No Prazo
A2629,WALMART-VALDIR ESPINOSA,2020-07-25,2020-08-04,SP,18,575.9999999999999,2020-07-31,2020-08-12,0,S/ Devolu.,18,Atrasado
A2630,WALMART-VALDIR ESPINOSA,2020-07-25,2020-08-04,BH,15,738.0000000000001,2020-07-31,2020-08-09,2,Arrependimento,15,Atrasado
A2631,WALMART-VALDIR ESPINOSA,2020-07-25,2020-08-04,SP,1,15.7,2020-08-06,2020-08-07,0,S/ Devolu.,13,Atrasado
A2633,CASA E VIDEO-TÚLIO SILVEIRA,2020-07-25,2020-08-04,RJ,3,99.60000000000002,2020-08-07,2020-08-10,0,S/ Devolu.,16,Atrasado
A2634,CASA E VIDEO-TÚLIO SILVEIRA,2020-07-25,2020-08-04,RJ,1,34.00000000000002,2020-08-07,2020-08-08,1,Danificado,14,Atrasado
A2635,CASAS BAHIA-TÚLIO SILVEIRA,2020-07-25,2020-08-04,BH,14,663.5999999999999,2020-07-27,2020-08-02,0,S/ Devolu.,8,No Prazo
A2636,MAGAZINE LUIZA-TÚLIO SILVEIRA,2020-07-25,2020-08-04,SP,13,221.00000000000014,2020-07-31,2020-08-07,1,Danificado,13,Atrasado
A2642,CASAS BAHIA-JOÃO GOMES,2020-07-26,2020-08-05,RJ,16,777.5999999999999,2020-07-30,2020-07-31,1,Danificado,5,No Prazo
A2644,MAGAZINE LUIZA-MARCOS LEROY,2020-07-26,2020-08-05,SP,3,96.6,2020-07-28,2020-08-10,2,Arrependimento,15,Atrasado
A2646,WALMART-MARCOS LEROY,2020-07-26,2020-08-05,SP,20,965.9999999999999,2020-08-09,2020-08-13,4,Danificado,18,Atrasado
A2647,WALMART-TÚLIO SILVEIRA,2020-07-26,2020-08-05,BH,15,236.99999999999997,2020-07-27,2020-08-09,3,Produto Errado,14,Atrasado
A2648,CASAS BAHIA-TÚLIO SILVEIRA,2020-07-26,2020-08-05,SP,14,671.9999999999999,2020-08-04,2020-08-09,1,Produto Errado,14,Atrasado
A2649,CASAS BAHIA-VALDIR ESPINOSA,2020-07-26,2020-08-05,RJ,11,524.6999999999999,2020-08-01,2020-08-07,0,S/ Devolu.,12,Atrasado
A2650,CASAS BAHIA-VALDIR ESPINOSA,2020-07-26,2020-08-05,SP,2,31.799999999999997,2020-08-03,2020-08-06,1,Danificado,11,Atrasado
A2652,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-07-26,2020-08-05,SP,5,157.0,2020-07-31,2020-08-10,2,Arrependimento,15,Atrasado
A2653,WALMART-VALDIR ESPINOSA,2020-07-26,2020-08-05,SP,19,646.0000000000005,2020-08-05,2020-08-08,3,Produto Errado,13,Atrasado
A2654,CASAS BAHIA-VALDIR ESPINOSA,2020-07-26,2020-08-05,SP,6,100.80000000000004,2020-08-04,2020-08-11,1,Produto Errado,16,Atrasado
A2664,WALMART-VALDIR ESPINOSA,2020-07-26,2020-08-05,SP,8,388.79999999999995,2020-07-31,2020-08-02,3,Produto Errado,7,No Prazo
A2670,WALMART-JOÃO GOMES,2020-07-26,2020-08-05,BH,18,907.2000000000004,2020-07-30,2020-08-04,2,Produto Errado,9,No Prazo
A2672,CASAS BAHIA-MARCOS LEROY,2020-07-26,2020-08-05,RJ,7,118.30000000000007,2020-07-31,2020-08-11,1,Danificado,16,Atrasado
A2674,AMERICANAS-LUIZ PARDAL,2020-07-27,2020-08-06,SP,4,190.79999999999998,2020-07-31,2020-08-03,1,Danificado,7,No Prazo
A2675,WALMART-FELIPE SILVA,2020-07-27,2020-08-06,BH,9,293.40000000000003,2020-07-28,2020-08-03,1,Produto Errado,7,No Prazo
A2676,WALMART-JOÃO GOMES,2020-07-27,2020-08-06,RJ,5,157.0,2020-07-30,2020-08-02,4,Danificado,6,No Prazo
A2682,MAGAZINE LUIZA-JOÃO GOMES,2020-07-27,2020-08-06,SP,16,496.0,2020-07-31,2020-08-06,1,Danificado,10,No Prazo
A2683,WALMART-JOÃO GOMES,2020-07-27,2020-08-06,SP,13,205.39999999999998,2020-07-31,2020-08-07,4,Danificado,11,Atrasado
A2686,MAGAZINE LUIZA-TÚLIO SILVEIRA,2020-07-27,2020-08-06,SP,14,232.40000000000006,2020-07-29,2020-08-13,1,Produto Errado,17,Atrasado
A2688,CASAS BAHIA-TÚLIO SILVEIRA,2020-07-27,2020-08-06,BH,12,187.2,2020-08-08,2020-08-12,0,S/ Devolu.,16,Atrasado
A2689,AMERICANAS-TÚLIO SILVEIRA,2020-07-27,2020-08-06,BH,13,218.4000000000001,2020-08-04,2020-08-05,2,Arrependimento,9,No Prazo
A2690,WALMART-TÚLIO SILVEIRA,2020-07-27,2020-08-06,SP,14,231.00000000000006,2020-07-31,2020-08-09,2,Produto Errado,13,Atrasado
A2691,MAGAZINE LUIZA-LUIZ PARDAL,2020-07-27,2020-08-06,SP,15,473.99999999999994,2020-07-29,2020-08-11,0,S/ Devolu.,15,Atrasado
A2692,CASAS BAHIA-LUIZ PARDAL,2020-07-27,2020-08-06,SP,11,531.3,2020-07-30,2020-08-04,0,S/ Devolu.,8,No Prazo
A2699,CASA E VIDEO-MARCOS LEROY,2020-07-27,2020-08-06,SP,17,795.6,2020-07-28,2020-08-11,10,Danificado,15,Atrasado
A2701,MAGAZINE LUIZA-LUIZ PARDAL,2020-07-27,2020-08-06,SP,1,33.00000000000001,2020-08-07,2020-08-09,1,Arrependimento,13,Atrasado
A2702,WALMART-LUIZ PARDAL,2020-07-27,2020-08-06,SP,17,800.6999999999999,2020-08-01,2020-08-04,3,Danificado,8,No Prazo
A2704,CASAS BAHIA-TÚLIO SILVEIRA,2020-07-28,2020-08-07,BH,19,894.9,2020-08-02,2020-08-09,1,Danificado,12,Atrasado
A2706,MAGAZINE LUIZA-MARCOS LEROY,2020-07-28,2020-08-07,SP,7,327.59999999999997,2020-08-11,2020-08-12,2,Produto Errado,15,Atrasado
A2710,MAGAZINE LUIZA-MARCOS LEROY,2020-07-28,2020-08-07,BH,13,410.79999999999995,2020-07-29,2020-08-11,2,Arrependimento,14,Atrasado
A2712,CASAS BAHIA-LUIZ PARDAL,2020-07-28,2020-08-07,SP,7,228.20000000000002,2020-08-01,2020-08-14,3,Produto Errado,17,Atrasado
A2714,CASA E VIDEO-LUIZ PARDAL,2020-07-28,2020-08-07,SP,11,184.8000000000001,2020-08-08,2020-08-11,0,S/ Devolu.,14,Atrasado
A2715,MAGAZINE LUIZA-FELIPE SILVA,2020-07-28,2020-08-07,BH,15,243.0,2020-08-04,2020-08-12,0,S/ Devolu.,15,Atrasado
A2716,CASAS BAHIA-FELIPE SILVA,2020-07-28,2020-08-07,RJ,17,278.8,2020-08-05,2020-08-07,3,Produto Errado,10,No Prazo
A2717,CASAS BAHIA-FELIPE SILVA,2020-07-28,2020-08-07,RJ,6,195.60000000000002,2020-08-09,2020-08-11,2,Danificado,14,Atrasado
A2727,AMERICANAS-JOÃO GOMES,2020-07-28,2020-08-07,BH,18,565.1999999999999,2020-08-07,2020-08-10,2,Danificado,13,Atrasado
A2728,AMERICANAS-JOÃO GOMES,2020-07-28,2020-08-07,RJ,7,118.30000000000007,2020-08-05,2020-08-07,1,Danificado,10,No Prazo
A2729,CASAS BAHIA-JOÃO GOMES,2020-07-28,2020-08-07,BH,7,111.29999999999998,2020-08-03,2020-08-08,2,Produto Errado,11,Atrasado
A2731,WALMART-LUIZ PARDAL,2020-07-28,2020-08-07,SP,14,219.79999999999998,2020-08-01,2020-08-11,0,S/ Devolu.,14,Atrasado
A2743,AMERICANAS-LUIZ PARDAL,2020-07-29,2020-08-08,SP,3,49.2,2020-08-08,2020-08-13,2,Danificado,15,Atrasado
A2744,AMERICANAS-JOÃO GOMES,2020-07-29,2020-08-08,BH,3,47.699999999999996,2020-08-09,2020-08-10,1,Produto Errado,12,Atrasado
A2754,MAGAZINE LUIZA-FELIPE SILVA,2020-07-29,2020-08-08,BH,12,586.8000000000001,2020-08-01,2020-08-09,0,S/ Devolu.,11,Atrasado
A2760,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-07-29,2020-08-08,SP,3,144.89999999999998,2020-08-01,2020-08-15,0,S/ Devolu.,17,Atrasado
A2761,CASAS BAHIA-VALDIR ESPINOSA,2020-07-29,2020-08-08,BH,1,15.5,2020-08-07,2020-08-08,1,Produto Errado,10,No Prazo
A2762,CASAS BAHIA-VALDIR ESPINOSA,2020-07-29,2020-08-08,BH,17,263.5,2020-08-07,2020-08-10,0,S/ Devolu.,12,Atrasado
A2769,WALMART-LUIZ PARDAL,2020-07-29,2020-08-08,RJ,14,467.6000000000002,2020-08-02,2020-08-10,1,Danificado,12,Atrasado
A2770,WALMART-LUIZ PARDAL,2020-07-29,2020-08-08,RJ,2,63.599999999999994,2020-08-01,2020-08-03,0,S/ Devolu.,5,No Prazo
A2771,CASAS BAHIA-JOÃO GOMES,2020-07-29,2020-08-08,RJ,18,896.4000000000003,2020-08-06,2020-08-14,2,Danificado,16,Atrasado
A2778,WALMART-MARCOS LEROY,2020-07-30,2020-08-09,SP,10,501.00000000000017,2020-07-31,2020-08-10,1,Danificado,11,Atrasado
A2779,CASAS BAHIA-MARCOS LEROY,2020-07-30,2020-08-09,RJ,20,676.0000000000003,2020-08-11,2020-08-17,15,Produto Errado,18,Atrasado
A2780,WALMART-MARCOS LEROY,2020-07-30,2020-08-09,RJ,12,597.6000000000001,2020-08-11,2020-08-13,7,Danificado,14,Atrasado
A2785,CASAS BAHIA-LUIZ PARDAL,2020-07-30,2020-08-09,RJ,4,125.6,2020-08-02,2020-08-09,1,Arrependimento,10,No Prazo
A2788,AMERICANAS-LUIZ PARDAL,2020-07-30,2020-08-09,RJ,14,705.6000000000004,2020-08-04,2020-08-16,3,Arrependimento,17,Atrasado
A2789,AMERICANAS-LUIZ PARDAL,2020-07-30,2020-08-09,BH,15,760.5000000000005,2020-08-01,2020-08-09,0,S/ Devolu.,10,No Prazo
A2790,WALMART-LUIZ PARDAL,2020-07-30,2020-08-09,SP,6,198.00000000000006,2020-08-02,2020-08-16,2,Danificado,17,Atrasado
A2791,CASAS BAHIA-LUIZ PARDAL,2020-07-30,2020-08-09,BH,6,289.79999999999995,2020-08-03,2020-08-12,0,S/ Devolu.,13,Atrasado
A2793,CASAS BAHIA-TÚLIO SILVEIRA,2020-07-30,2020-08-09,RJ,20,318.0,2020-08-12,2020-08-17,1,Produto Errado,18,Atrasado
A2794,MAGAZINE LUIZA-TÚLIO SILVEIRA,2020-07-30,2020-08-09,SP,7,329.7,2020-08-06,2020-08-09,0,S/ Devolu.,10,No Prazo
A2798,WALMART-TÚLIO SILVEIRA,2020-07-30,2020-08-09,SP,9,304.20000000000016,2020-07-31,2020-08-09,3,Produto Errado,10,No Prazo
A2799,CASAS BAHIA-VALDIR ESPINOSA,2020-07-30,2020-08-09,BH,20,324.0,2020-08-04,2020-08-08,0,S/ Devolu.,9,No Prazo
A2801,MAGAZINE LUIZA-LUIZ PARDAL,2020-07-30,2020-08-09,BH,9,151.20000000000007,2020-08-10,2020-08-12,2,Danificado,13,Atrasado
A2803,CASAS BAHIA-FELIPE SILVA,2020-07-31,2020-08-10,SP,15,510.00000000000034,2020-08-09,2020-08-14,0,S/ Devolu.,14,Atrasado
A2807,MAGAZINE LUIZA-LUIZ PARDAL,2020-07-31,2020-08-10,BH,11,561.0000000000003,2020-08-10,2020-08-17,0,S/ Devolu.,17,Atrasado
A2808,CASAS BAHIA-LUIZ PARDAL,2020-07-31,2020-08-10,SP,4,124.0,2020-08-01,2020-08-09,3,Produto Errado,9,No Prazo
A2812,CASAS BAHIA-LUIZ PARDAL,2020-07-31,2020-08-10,SP,2,66.80000000000003,2020-08-04,2020-08-15,1,Produto Errado,15,Atrasado
A2813,AMERICANAS-VALDIR ESPINOSA,2020-07-31,2020-08-10,SP,10,501.00000000000017,2020-08-07,2020-08-11,1,Produto Errado,11,Atrasado
A2814,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-07-31,2020-08-10,RJ,12,590.4000000000001,2020-08-05,2020-08-07,0,S/ Devolu.,7,No Prazo
A2819,CASAS BAHIA-VALDIR ESPINOSA,2020-07-31,2020-08-10,RJ,9,442.80000000000007,2020-08-01,2020-08-12,1,Produto Errado,12,Atrasado
A2822,WALMART-TÚLIO SILVEIRA,2020-07-31,2020-08-10,BH,16,518.4,2020-08-01,2020-08-16,0,S/ Devolu.,16,Atrasado
A2823,MAGAZINE LUIZA-JOÃO GOMES,2020-07-31,2020-08-10,RJ,7,231.00000000000006,2020-08-06,2020-08-13,1,Danificado,13,Atrasado
A2824,WALMART-JOÃO GOMES,2020-07-31,2020-08-10,BH,16,262.40000000000003,2020-08-07,2020-08-16,1,Produto Errado,16,Atrasado
A2825,CASAS BAHIA-JOÃO GOMES,2020-07-31,2020-08-10,RJ,9,426.59999999999997,2020-08-07,2020-08-14,7,Danificado,14,Atrasado
A2826,MAGAZINE LUIZA-JOÃO GOMES,2020-07-31,2020-08-10,BH,20,1008.0000000000005,2020-08-06,2020-08-13,3,Arrependimento,13,Atrasado
A2833,AMERICANAS-LUIZ PARDAL,2020-07-31,2020-08-10,RJ,20,664.0000000000002,2020-08-04,2020-08-14,4,Arrependimento,14,Atrasado
A2834,WALMART-VALDIR ESPINOSA,2020-08-01,2020-08-11,BH,3,50.40000000000002,2020-08-08,2020-08-16,1,Danificado,15,Atrasado
A2836,WALMART-JOÃO GOMES,2020-08-01,2020-08-11,SP,2,99.60000000000002,2020-08-14,2020-08-15,1,Produto Errado,14,Atrasado
A2837,WALMART-LUIZ PARDAL,2020-08-01,2020-08-11,RJ,19,889.1999999999999,2020-08-06,2020-08-16,0,S/ Devolu.,15,Atrasado
A2839,MAGAZINE LUIZA-JOÃO GOMES,2020-08-01,2020-08-11,RJ,11,557.7000000000003,2020-08-02,2020-08-10,4,Produto Errado,9,No Prazo
A2841,CASAS BAHIA-TÚLIO SILVEIRA,2020-08-01,2020-08-11,SP,3,100.20000000000005,2020-08-06,2020-08-07,2,Arrependimento,6,No Prazo
A2843,CASAS BAHIA-FELIPE SILVA,2020-08-01,2020-08-11,BH,7,346.50000000000006,2020-08-17,2020-08-18,2,Produto Errado,17,Atrasado
A2844,WALMART-JOÃO GOMES,2020-08-01,2020-08-11,SP,2,32.199999999999996,2020-08-06,2020-08-15,1,Danificado,14,Atrasado
A2845,WALMART-JOÃO GOMES,2020-08-01,2020-08-11,RJ,12,187.2,2020-08-03,2020-08-15,2,Danificado,14,Atrasado
A2846,CASAS BAHIA-LUIZ PARDAL,2020-08-01,2020-08-11,BH,12,200.4000000000001,2020-08-08,2020-08-13,0,S/ Devolu.,12,Atrasado
A2852,CASAS BAHIA-VALDIR ESPINOSA,2020-08-01,2020-08-11,BH,3,47.099999999999994,2020-08-03,2020-08-19,0,S/ Devolu.,18,Atrasado
A2853,WALMART-FELIPE SILVA,2020-08-01,2020-08-11,SP,17,800.6999999999999,2020-08-07,2020-08-13,0,S/ Devolu.,12,Atrasado
A2854,WALMART-FELIPE SILVA,2020-08-01,2020-08-11,RJ,18,287.99999999999994,2020-08-06,2020-08-08,1,Produto Errado,7,No Prazo
A2855,AMERICANAS-FELIPE SILVA,2020-08-01,2020-08-11,SP,15,234.0,2020-08-09,2020-08-12,1,Danificado,11,Atrasado
A2856,WALMART-FELIPE SILVA,2020-08-01,2020-08-11,RJ,3,151.20000000000007,2020-08-09,2020-08-10,0,S/ Devolu.,9,No Prazo
A2858,CASAS BAHIA-MARCOS LEROY,2020-08-01,2020-08-11,SP,7,357.0000000000002,2020-08-08,2020-08-14,4,Produto Errado,13,Atrasado
A2859,CASAS BAHIA-JOÃO GOMES,2020-08-01,2020-08-11,BH,19,285.0,2020-08-08,2020-08-10,3,Danificado,9,No Prazo
A2862,CASAS BAHIA-VALDIR ESPINOSA,2020-08-01,2020-08-11,SP,18,558.0,2020-08-05,2020-08-06,0,S/ Devolu.,5,No Prazo
A2863,WALMART-VALDIR ESPINOSA,2020-08-01,2020-08-11,RJ,18,302.40000000000015,2020-08-08,2020-08-12,2,Produto Errado,11,Atrasado
A2871,WALMART-TÚLIO SILVEIRA,2020-08-01,2020-08-11,BH,7,335.99999999999994,2020-08-03,2020-08-13,2,Danificado,12,Atrasado
A2872,CASAS BAHIA-TÚLIO SILVEIRA,2020-08-01,2020-08-11,SP,10,328.00000000000006,2020-08-08,2020-08-16,0,S/ Devolu.,15,Atrasado
A2873,CASAS BAHIA-MARCOS LEROY,2020-08-02,2020-08-12,RJ,12,194.39999999999998,2020-08-10,2020-08-15,2,Danificado,13,Atrasado
A2874,CASA E VIDEO-LUIZ PARDAL,2020-08-02,2020-08-12,BH,4,132.00000000000003,2020-08-06,2020-08-12,3,Danificado,10,No Prazo
A2879,CASAS BAHIA-VALDIR ESPINOSA,2020-08-02,2020-08-12,RJ,11,521.4,2020-08-09,2020-08-16,0,S/ Devolu.,14,Atrasado
A2881,WALMART-VALDIR ESPINOSA,2020-08-02,2020-08-12,SP,10,168.00000000000009,2020-08-06,2020-08-07,0,S/ Devolu.,5,No Prazo
A2882,CASAS BAHIA-VALDIR ESPINOSA,2020-08-02,2020-08-12,SP,13,410.79999999999995,2020-08-07,2020-08-12,1,Danificado,10,No Prazo
A2897,CASAS BAHIA-MARCOS LEROY,2020-08-02,2020-08-12,SP,8,400.8000000000002,2020-08-04,2020-08-09,1,Danificado,7,No Prazo
A2898,MAGAZINE LUIZA-MARCOS LEROY,2020-08-02,2020-08-12,SP,4,60.0,2020-08-09,2020-08-19,3,Produto Errado,17,Atrasado
A2899,MAGAZINE LUIZA-MARCOS LEROY,2020-08-02,2020-08-12,RJ,12,612.0000000000003,2020-08-12,2020-08-15,1,Produto Errado,13,Atrasado
